id;nome;nazione;citta;indirizzo;latitudine;longitudine;prezzoMedio;takeAway;booking;tipoCucina;descrizione;servizi;recensioniIDs
1;Zandra;China;Majie;4003 Center Center;25.152278;104.241546;87;false;false;Brazil;71781454027164725093564735114473409592206405392114912725315355905857292530496921 10661121804665969795051;65073089555901061271798214043776609418319513523745326862273795312565119255045557 15207682590834538579561;
2;Lu;Colombia;San Juan del Cesar;0 Fieldstone Alley;10.7698637;-73.0021534;83;false;true;Sweden;88572713214602635217160342701692350540979814684854635188396005455714439140420949 84693895059667010684600;28488086624807170491559272684714564530412830248681353769072752192984794013945030 78873926444727025704331;
3;Josh;Argentina;Río Segundo;38645 Glendale Point;-34.588234;-58.6876178;76;false;false;Macedonia;69099829304402708867711182486331850939929468227392482903271929583943994046921073 04852215886152658587910;99716343609413987216646570821262337316083798097438487985478899753500409718425020 50763446412428454425590;
4;Regen;Russia;Pavshino;4 Londonderry Trail;55.8182515;37.3477667;58;false;true;China;39361260718824173967291631284694872686010415696984364950955837289286425814365714 37092079719034199858581;89034846996275549453607412408018000897401930091785903804885897330309119329550642 02692090613980375429981;
5;Mack;Thailand;Bang Bo;2323 Anderson Hill;13.5847649;100.851776;89;true;true;China;46389175893319336872153821196293361459840495104199497376244243499104442115390550 90632301659666074227461;58168617052068238011731988739274567979749161639984731620249941864032279466856473 14729836642644617745290;
6;Rosaleen;Philippines;Muñoz East;567 Macpherson Plaza;14.6411839;121.0469082;16;true;true;Guatemala;48111683579696158964278227049125874092608000533528856222419486514542016501391643 22483147367578248075751;53406876513598507866154471254381857509289824677817612759884496513599833513506309 91845281868040384603656;
7;Lyell;Indonesia;Dukuhsia;6727 Elmside Pass;-8.1953;113.6183;100;true;false;Indonesia;66374274883316879878018412172755034245668746940263438296423600315811743779862985 92398732637067756397314;19388703532287912452237196758264220032155065211403437959841510976504336424075982 71307576513762332488511;
8;Jabez;Portugal;Cuba;6642 Dixon Hill;38.1661758;-7.888224;23;false;false;Poland;96106168872513110287726378583169395555372097539919095852454614928446716767414417 88657970797073166691414;70171788979646452942532890677950944951597178381615113220623761813504928583054998 51860828390412135142466;
9;Robbyn;United States;San Antonio;12464 Oriole Alley;29.5613789;-98.5612534;19;false;false;Syria;02839107228007707020908914827573585757375085615028169325594585530221027741481433 78765275756062165648209;88866608043587498537910039548683315514142164922075021852798672869333360821451714 08284842980371614388963;
10;Maxy;Peru;Pacaycasa;6405 Fremont Lane;-13.056944;-74.213611;100;true;false;Czech Republic;85109098861332463305671888393307282384177859968612264169472799233537528038761609 50186693990717559345791;43698371668826144740928270400825088604019053039958098304464276778326728509018771 13571117473943918400989;
11;Gavan;China;Fumin;1 Northridge Road;25.221935;102.4976;64;false;false;Philippines;51110797123942007536698663481878945907633373862256652544889153595596257511767601 02671443660322461088910;74262836471942944946917500997333627728049138451748308585896629212953444790471999 37684910853598497982374;
12;Jayson;Ukraine;Polonne;920 Kim Court;50.1224689;27.506767;39;true;true;China;17695353309246930021929933826656333195227471907294380282790383004364437295219291 48818505524539863142958;69609532108527662454954968056328636572112293596137656101750518668169501514568620 00844780480585716901255;
13;Jule;Brazil;Miracema;53029 Lukken Park;-21.4138052;-42.1917995;37;false;true;China;20156845466772717558251068963108386995972187333554261535396752726133930138546404 38945786835607296117116;10654786733943732476042446789685068806050931878330197547732222764141562705046079 38264889304568010327517;
14;Rusty;Turkmenistan;Büzmeýin;6933 Merchant Trail;38.058734;58.177902;96;false;true;United States;93482395153814467965767297601351203317093002573248340902341904175847198844347941 83603952827141271271440;34095439671169904256229836324668458051659449094795552284392301788341843298427006 01089251032760772464331;
15;Sukey;Nigeria;Idanre;33048 Oriole Court;7.0913555;5.1484196;96;false;false;United Kingdom;45630672805199218588322756723779375594805867981590325073187745539196489210507802 00917530120109701173957;04348818257358065647744203604809689390570963153669244493158528231480089907777734 99740342834701740382128;
16;Camala;Brazil;Flores da Cunha;2 7th Trail;-29.0303854;-51.2003761;55;true;true;Madagascar;86625718639001313752248309470338557238477658618760831069950449596916114497396115 66339491623910206755996;69071194514502798419494349337601774318520126556346112172783606848834189627846807 74587938701391251062294;
17;Toddie;United States;Birmingham;55 Ilene Hill;33.52;-86.8;29;true;true;Russia;94952284969960596132818789079753527623960294667766058190855836636070376626938611 13500261784657745833635;00090855798281881706671290577884741837090990905905359620165936563412304651167290 57865096236356058462014;
18;Carolina;France;Perpignan;0 Spaight Point;42.6962642;2.8797149;10;true;false;China;98655626615440486348170336552629739192406278110377509073735606643774672462782510 45902670600136524431352;80441974709401060683490930276886154139875853273440065629536972870161228819714503 43413055088971337753134;
19;Ashlie;Japan;Hino;5 Sycamore Place;35.8439572;136.1916906;49;true;false;Indonesia;43990105232080009631317451856788806396672431840213583512026588119528581944519852 88800821095968657911441;53554897168511096188668906271453959843753039527412533145957150332895560215693508 21776538519877933217343;
20;Scarlet;Brazil;Paracuru;594 Steensland Pass;-3.4142906;-39.0303806;65;false;true;Myanmar;40567046294479300482752939578633071657376377148241686872283985177063417620877123 54989797522242146349197;05034172683567446209725599750822919367855154036218662846406677639992793535296799 01611481420046405896942;
21;Melodee;China;Xigaoshan;60422 Springs Terrace;31.556273;115.004962;4;false;false;Honduras;73930790435543047707132067968100384777918014792400999023968373614302067847248293 65579969452837502700077;07721324354373571227117966844736968445021019722087050551646027869408330323554226 75141601321932572211253;
22;Bee;Greenland;Upernavik;1377 Kings Road;72.79;-56.130556;99;true;true;China;42335584585970863407387515690904200664298682447279353069149128247305606803792610 86152454975212135196564;46757495654375797770773149664588111270857078974152661563282078897130655295968675 11650951512143764132337;
23;Conroy;Brazil;Cambuí;82 Ridgeway Circle;-22.6118831;-46.0577071;76;false;true;Myanmar;24489447475368243953631160864556925325483334466118862040771825339382034387029267 43211912341780360998306;07997367921980334360895555938129511200524081698244247488040293317692962617667355 29243721762102167244995;
24;Maxie;China;Wenchang;201 Bunker Hill Place;19.543278;110.797759;18;true;false;Brazil;70600200743052915395765132483017995756466318783177963506596732902542817375902623 15270849792772432106285;08919566309388752882839640076741203832564459448880652878182862606578940893738173 18636269955914415299605;
25;Kasper;Czech Republic;Poniklá;9765 Moland Lane;50.6558337;15.4518432;51;false;false;Poland;49291396128412443457234077108313020351591053990990598197864054905512719932598825 01812085296796529173776;03959498332580861432212979801044287700846820860792720796612524066138271245404690 71775402179728282303944;
26;Trisha;Brazil;Itapecerica da Serra;44 Maple Plaza;-23.7169139;-46.8498038;94;false;true;Russia;11820435926003372164559387674500045440037079069943253691662578088559888546704460 66891581741523658861168;63535097882251933907671970578115147575794192732959484800293884379301665776625084 99311911023875915433200;
27;Mela;Russia;Konosha;4 Stoughton Hill;60.9754503;40.2657733;93;true;true;France;44739194572560979942754456630787972822062565853689341058053543486641201950575884 08065320752397266697953;57981761285282788599231621735420090793718064249429608675013865987862139818990590 64805914646437189448461;
28;Clementius;Indonesia;Bandaragung;36246 Esch Alley;-5.3003056;105.6823124;84;true;true;Afghanistan;02926498327064656231740296964340921399987423877295075819897371244588598458816176 17432132845807251776156;98537490899758064633438037689664352621249518814280602565126464214830760678937805 56191643498285632530040;
29;Mufinella;Russia;Rostokino;26 Old Gate Alley;55.874056;37.690366;85;true;false;Serbia;01712421399117161189772650623445277682013309649786775679660042922641437561610183 89792663723367274895039;15966495411547581858654407192724136911378883343608426863017759290351788996687477 23370281753751608785288;
30;Hermina;Japan;Numata;9 Dwight Hill;38.7731612;140.297972;16;true;false;China;06121787941702966700965956776391286786950336773776904002956523757906245542724243 06112756147162430779680;54038673315734969176162056846186969561115942982929894089623558184550791536588514 57290917211665071201919;
31;Alaine;Japan;Yashio-shi;700 Grim Terrace;35.8113988;139.8370142;11;false;false;Chile;15558200282017602178519970732860839561597330373772236600318967364893910671022114 90679117514080325438222;41353055694447895665936913958919103925613435090603785932717774307106874350662176 85616125384414619810068;
32;Lyle;China;Tianxin;63063 Utah Center;28.112525;112.989854;10;true;false;China;81628264342800486977210924970166007141567752933340471283772819547988119709871578 90058486480369381706007;63530492693543834679254907865352836927196587914034676762495283613869704169989928 13337715622223669221576;
33;Padgett;Philippines;Basa;5 Grasskamp Alley;14.6430983;121.0219885;98;false;false;Colombia;71687914291201318416027788936857433428815756696891934918500143795128561250191250 99538285874344790393729;57407817916743916053729550706125605722267294401895864117501975184221352516461093 70619294949687476607051;
34;Doro;China;Dongguan;72 Fisk Street;23.020673;113.751799;94;true;false;Malaysia;26827556704717747789622865529011526981914781025788627452508791167358588038361102 71007245530797084998747;97951696159020667276740082027521058532207283510969079987278761107461633243829063 57791247499415038991207;
35;Karalee;Zimbabwe;Redcliff;63971 Bluestem Terrace;-19.0139329;29.7773461;55;true;false;Indonesia;96808610362578968969406727963549614347628069073279976684529806452899085845821006 72821537844931239212286;92593787740745433445222640178579868884637796234136825276820469494897543169884272 99133569228616636900496;
36;Jeniece;Ireland;Tuam;06071 Fulton Junction;53.49417;-8.83565;99;true;true;Mexico;91579090280405362610617194442476466653014866702226543210352903457123428512800719 09867268405367212403432;22357920405687976107967634609318112931440855333354391689942819829539173176889622 21085190287497834232906;
37;Abagail;Sweden;Karlskoga;1 Anderson Lane;59.3281151;14.5096023;48;true;false;Brazil;61157558622483393626362319888686498219186501212954667809991796077657479078363651 94419586440207575333887;40186473759068370291488303496116575555386132299284243854326637729278881635474274 68397406709705025302239;
