Name,Address,Location,Price,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,GreenStar,FacilitiesAndServices,Description
Casa Perbellini 12 Apostoli,"vicolo Corticella San Marco 3, Verona, 37121","Verona",€€€€,"Creative, Contemporary",10.9961161,45.4426941,+390458780860,https://guide.michelin.com/en/veneto/verona/restaurant/casa-perbellini,http://www.casaperbellini.com,3 Stars,0,"Air conditioning,Counter dining,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access","Giancarlo Perbellini returns to his origins in this historic restaurant in his native city, where every chef from Verona (and possibly beyond) would like to work. The updated decor gives the restaurant even more appeal, as does the culinary style and philosophy showcased on three tasting menus: “Io e Silva”, which includes decidedly imaginative dishes (such as cooked and raw shellfish with a dash of soya and peppers) and is dedicated to his wife; “Io e Giorgio”, dedicated to his mentor and former restaurant owner, which features more classic recipes; and, last but not least, the completely vegetarian “L'Essenza”. Special mention must be made of the wine list, which includes an extensive selection of French labels, of which both the sommelier and Giancarlo are huge fans. As a final attraction, make sure you find time to visit the Roman ruins in the basement. We also highly recommend booking the chef's table where you can dine as a couple yet at the same time enjoy the company of the skilled chefs whom you’ll observe working together like the well-practised members of an orchestra – an extraordinary sight!"
Le Calandre,"via Liguria 1, località Sarmeola, Rubano, 35030","Rubano",€€€€,"Creative, Contemporary",11.8096633,45.4215425,+39049630303,https://guide.michelin.com/en/veneto/rubano/restaurant/le-calandre,httpss://alajmo.it,3 Stars,0,"Air conditioning,Car park,Interesting wine list","Situated away from the main road and the main shopping centre, the fabulous Le Calandre is run by the Alajmo family. The soft lighting (even during the day) perfectly complements the decor in the minimalist-style dining room designed by brothers Massimiliano and Raffaele (as is most of the tableware used in the restaurant). The cuisine is presented on three tasting menus (Classico, Max and Raf), with the option of reducing the number of courses and choosing dishes from different menus, almost à la carte style. With its combination of familiar flavours and imaginative twists, Max’s cuisine celebrates the restaurant’s signature dishes such as the “passi d’oro” 2.0 risotto and the famous cuttlefish cappuccino in black ink, as well as creative dishes inspired by the passing seasons. The restaurant also has its own delicatessen for anyone keen to purchase a gourmet souvenir."
Enrico Bartolini al Mudec,"via Tortona 56, Milan, 20144","Milan",€€€€,Creative,9.161865,45.4516,+390284293701,https://guide.michelin.com/en/lombardia/milano/restaurant/enrico-bartolini-al-mudec,http://www.enricobartolini.net,3 Stars,0,"Air conditioning,Car park,Interesting wine list,Wheelchair access","Having received three stars for this restaurant (his flagship address in Milan), Enrico Bartolini has no intention of resting on his laurels. Assisted by resident chef Davide Boglioli, he continues to create new yet approachable dishes full of intense flavours and a variety of influences, so simply sit back and enjoy the perfectly balanced results. There are two tasting menus served here: “Mudec Experience” and the “Best of”, the latter showcasing the chef’s classic favourites. Dishes can be chosen à la carte style from both menus. If you’d like to taste cold spaghetti, leave room for one of the five dishes served on the “creative cheeses” menu that features interesting and unusual combinations. Situated on the third floor of Milan’s Museo delle Culture (Mudec), the restaurant has an elegant and contemporary lounge-style vibe."
Uliassi,"banchina di Levante 6, Senigallia, 60019","Senigallia",€€€€,"Creative, Seafood",13.2206503,43.7194609,+3907165463,https://guide.michelin.com/en/marche/senigallia/restaurant/uliassi,http://www.uliassi.com,3 Stars,0,"Air conditioning,Great view,Interesting wine list,Terrace","The Adriatic Riviera, a perfect picture-postcard summer holiday destination, is the setting for this fine restaurant run by chef Mauro Uliassi. Hidden among the private beach clubs that crowd Senigallia’s seafront, this three-Michelin-star restaurant comes as a surprise, surrounded as it is by beach parasols and the sound of the sea lapping on the shore. The strength and originality of Uliassi’s cuisine lies in his ability to make good use of local ingredients, taking inspiration from the culinary traditions that have been so familiar and successful along this coastline over the past few decades and giving them a personal, creative twist. Fish and seafood obviously take pride of place, although there’s also room on the menu for meat, inspired by the Marche’s traditional game dishes – the delicious skewered pigeon is cooked to perfection! The colourful dining experience here is enhanced by the owner’s warm welcome, with Mauro’s sister Catia and his son Filippo working alongside the chef. It’s also worth mentioning that the restaurant has a keen focus on the environment, hence its banning of the use of plastic and doing its utmost to persuade its fish suppliers not to use polystyrene to transport their fish."
Enoteca Pinchiorri,"via Ghibellina 87, Florence, 50122","Florence",€€€€,Italian Contemporary,11.2621974,43.770066,+3905526311,https://guide.michelin.com/en/toscana/firenze/restaurant/enoteca-pinchiorri,http://www.enotecapinchiorri.com,3 Stars,0,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Terrace","The cuisine at Pinchiorri is striking for its opulent and grandiose style which impresses without becoming overly fussy or excessive, so that the main focus in every dish is the flavour of its ingredients. The magnificent feast of courses resembles a firework display, with each course more impressive than the last in a growing crescendo of delights. It’s worth coming here simply to experience the service, an impeccable waltz directed by Alessandro Tomberli, one of the best maître-d’s in Italy. Annie Féolde, one of the restaurant’s icons, left the reins to the highly talented chef Riccardo Monco, who continues to nurture and satisfy the Italian appetite for fine cuisine. Credit must also go to Giorgio Pinchiorri, who has developed a wine list that is renowned across the globe."
Atelier Moessmer Norbert Niederkofler,"via Walther Von der Vogelweide 17, Brunico, 39031","Brunico",€€€€,"Creative, Alpine",11.949283,46.7927709,+390474646629,https://guide.michelin.com/en/trentino-alto-adige/brunico/restaurant/atelier-moessmer-norbert-niederkofler,https://ateliernorbertniederkofler.com/moessmer/,3 Stars,1,"Car park,Counter dining,Garden or park,Interesting wine list","Situated in a vast historic park near the centre of Brunico, this restaurant occupies a villa that was once part of the Moessmer textile factory – to illustrate the fact, an interesting fabric book dating from the early 20C is displayed on a large central table in the dining room. Here, the chef’s “Cook the Mountain” philosophy takes centre stage with a focus on top-quality produce sourced from the surrounding mountains, and a seasonal approach which ensures that flavours and ingredients are always at their best. Dinner starts with delicious appetisers served in the small lounge, perhaps accompanied by an aperitif. Having enjoyed this delicious prelude, you then move to the dining room or to the counter with its stools facing the kitchen. Wherever you choose to sit, you continue with the chef’s single tasting menu – a series of superb dishes that confirm this chef from the Ahrntal valley as one of the masters of contemporary Italian cuisine."
Villa Crespi,"via Fava 18, Orta San Giulio, 28016","Orta San Giulio",€€€€,"Creative, Mediterranean Cuisine",8.4159486,45.7964778,+390322911902,https://guide.michelin.com/en/piemonte/orta-san-giulio/restaurant/villa-crespi,http://www.villacrespi.it,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Wheelchair access","Just a stone’s throw from the enchanting village of Orta San Giulio with its picture-postcard views of the lake and San Giulio island, this three-Michelin-star restaurant boasts a stunning location in a late-19C Moorish-style villa. Impressive both inside and out, this aristocratic residence was once the home of the Crespi family. Today, the villa’s leading light is Antonino Cannavacciuolo, who is now at the helm of a number of Michelin-starred restaurants, of which the Villa Crespi, the most famous and celebrated of them all, is the flagship. Although this chef originally from Vico Equense in Campania takes inspiration from all over Italy and further afield, it is the passion, colour and intense flavours of his native region that shine through in all his dishes. The two tasting menus, as well as the concise à la carte, showcase elegant dishes full of goodness where the focus is on fish and seafood (although meat also features). This is Mediterranean cuisine in all its glory, with a contemporary style that is never forced – typical of Cannavacciuolo at his very best."
Quattro Passi,"via Vespucci 13/n, Marina del Cantone, 80061","Marina del Cantone",€€€€,"Mediterranean Cuisine, Contemporary",14.3537561,40.5857091,+390818081271,https://guide.michelin.com/en/campania/marina-del-cantone/restaurant/quattro-passi,https://www.ristorantequattropassi.it/it/quattro-passi/,3 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Terrace","This restaurant’s 40-year history began with present owner-chef Fabrizio Mellino’s grandfather, who ran a small business selling eggs from his own hens. From this, he decided to branch out and open a pizzeria “four steps from the sea” (hence the name Quattro Passi), which over the years his son Antonio and now his grandson Fabrizio have transformed into a temple to Mediterranean cuisine. Flavours, strong technique and quality ingredients combine to create an exciting feast for the tastebuds which finishes with a selection of small chocolate eggs with unusual flavours such as roquefort, rocket, chilli pepper and lemon. A host of different influences (the sea, the Sannio region, France, Japan) and ingredients (San Marzano tomatoes, Amalfi lemons) come together in Fabrizio’s cuisine, resulting in dishes that are simple, delicious and full of flavour. It’s not an easy journey to Marina del Cantone, but once here you’ll be warmly welcomed by Raffaele and his team, after which you can sit back and enjoy a truly memorable dining experience."
La Pergola,"via Cadlolo 101, Rome, 00136","Rome",€€€€,"Mediterranean Cuisine, Contemporary",12.4461151,41.9187946,+390635092152,https://guide.michelin.com/en/lazio/roma/restaurant/la-pergola69016,https://romecavalieri.com/it/la-pergola-it/,3 Stars,0,"Air conditioning,Car park,Great view,Interesting wine list,Terrace,Wheelchair access","Following complete refurbishment, the new Pergola pays tribute to the colours and materials of Rome, from the Travertine marble to the red colour scheme. The terrace has also had a face-lift, but fortunately the view hasn’t changed – however many times you come here, you find that your memory never quite does justice to the magnificent and expansive views of the capital. Below Monte Mario hill, the whole of Rome, encircled by hills, is spread out before you, appearing silent and enchanted, almost as if it were dozing. Although he’s been at the helm here since 1994, Heinz Beck’s enthusiasm remains undiminished, as he continues to update his dishes, explore new avenues and create imaginative cuisine with a strong Italian and Mediterranean flavour. In addition to the spectacular wine list, there’s also a remarkable choice of water and coffee."
Reale,"contrada Santa Liberata, località Casadonna, Castel di Sangro, 67031","Castel di Sangro",€€€€,"Modern Cuisine, Creative",14.094554,41.7800349,+39086469382,https://guide.michelin.com/en/abruzzo/castel-di-sangro/restaurant/reale,http://www.nikoromito.com/reale,3 Stars,0,"Air conditioning,Car park,Garden or park,Great view,Interesting wine list,Restaurant offering vegetarian menus","Housed in a 16C monastery amid gardens and vineyards in the foothills surrounding Castel di Sangro, this restaurant boasts a simple, minimalist style which is echoed in its cuisine, created by one of the most easily identified and recognisable chefs in Italy. For years, Niko Romito has been renowned for his minimalist-style dishes which are prepared from just a few ingredients, featuring sauces with an Italian rather than classically French flavour, and this remarkable chef continues to research and evolve. He focuses on ingredients and recipes from his native Abruzzo, paying particular attention to vegetables and creating dishes that are striking for their intense flavours. As ever, his dishes are apparently simple yet often the result of complex preparation that leaves his guests full of spellbound admiration."
Da Vittorio,"via Cantalupa 17, Brusaporto, 24060","Brusaporto",€€€€,Italian Contemporary,9.7692511,45.6756778,+39035681024,https://guide.michelin.com/en/lombardia/brusaporto/restaurant/da-vittorio,http://www.davittorio.com,3 Stars,0,"Air conditioning,Car park,Garden or park,Interesting wine list,Terrace,Wheelchair access","Although there’s an à la carte at this welcoming, family-run restaurant, the four tasting menus served here are the highlight: “Gli esordi di papà Vittorio” (traditionally inspired meat dishes); “Dalla nostra campagna” (vegetables grown in the restaurant’s own kitchen garden and at Planet Farm); “Carta Bianca” (16 courses showcasing the chef’s creative skills to the full); and “Nella tradizione di Vittorio"" (8 fish and seafood courses prepared with fresh produce from the market, including the famous “pacchero” or mantis shrimp). All the dishes are prepared using carefully chosen, top-quality ingredients and are striking for their beautiful presentation and rich, intense and traditional flavours. At Vittorio, guests are carefully looked after from start to finish, with the extraordinary cheese and dessert trolleys providing a fitting finale."
